timesteps,mean_return,mean_base_return,mean_rml_reward,mean_steps,success_rate,rml_success_rate,critical_failure_rate,full_episode_safe_rate,terminal_stable_rate,monitor_failure_rate,warning_rate,mean_warning_events,mean_tracking_error,mean_temperature_violation,mean_max_stable_steps,mean_first_stable_step,mean_regulated_steps_before_failure,mean_monitor_violation_steps,startup_success_rate,deadline_miss_rate,overshoot_rate,soak_completed_rate,mean_steps_to_regulate,mean_rate_violation_count,soak_exact_compliance_rate,soak_under_count_rate,soak_over_count_rate,mean_soak_exit_error,mean_soak_extra_steps,mean_deadline_margin,mean_time_to_success,mean_hidden_soak_exit_error,variant,label,seed,run_dir
500000,36.99991431079478,36.99991431079478,0.0,300.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.00231730570206623,0.0,286.0,15.0,300.0,0.0,0.0,1.0,0.0,0.0,301.0,9.0,0.0,1.0,0.0,-10.0,0.0,-200.0,301.0,-10.0,baseline,Baseline,0,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/baseline_seed0
500000,32.115502796397344,32.115502796397344,0.0,300.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.000294743863995528,0.0,268.0,33.0,300.0,0.0,1.0,0.0,0.0,1.0,33.0,10.0,0.0,1.0,0.0,-10.0,0.0,67.0,301.0,-10.0,baseline,Baseline,1,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/baseline_seed1
500000,36.2004159715254,36.2004159715254,0.0,300.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.00017417892454552053,0.0,277.0,24.0,300.0,0.0,0.0,1.0,0.0,0.0,301.0,7.0,0.0,1.0,0.0,-10.0,0.0,-200.0,301.0,-10.0,baseline,Baseline,2,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/baseline_seed2
500000,37.57743170345375,37.57743170345375,0.0,300.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.493402441778759e-05,0.0,282.0,19.0,300.0,0.0,0.0,1.0,0.0,0.0,301.0,9.0,0.0,1.0,0.0,-10.0,0.0,-200.0,301.0,-10.0,baseline,Baseline,3,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/baseline_seed3
500000,36.295661172132945,36.295661172132945,0.0,300.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0020845111456528342,0.0,280.0,21.0,300.0,0.0,0.0,1.0,0.0,0.0,301.0,8.0,0.0,1.0,0.0,-10.0,0.0,-200.0,301.0,-10.0,baseline,Baseline,4,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/baseline_seed4
500000,-46.386267740108515,-4.98377552650866,-41.402492213599864,27.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.07708987183058291,0.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,1.0,0.0,-5.0,0.0,73.0,28.0,-5.0,rml_hidden,RML hidden,0,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_hidden_seed0
500000,-47.22094452319736,-6.007733767420332,-41.21321075577702,32.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.07941135854523929,0.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,0.0,1.0,0.0,2.0,2.0,68.0,33.0,2.0,rml_hidden,RML hidden,1,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_hidden_seed1
500000,941.703975043265,23.98784039374564,917.7161346495234,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.027379974644245686,0.0,269.0,32.0,300.0,0.0,1.0,0.0,0.0,1.0,32.0,5.0,1.0,0.0,0.0,0.0,0.0,68.0,300.0,0.0,rml_hidden,RML hidden,2,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_hidden_seed2
500000,938.1214060452642,13.404836281162545,924.7165697641055,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.05867478546037053,0.0,270.0,31.0,300.0,0.0,1.0,0.0,0.0,1.0,31.0,8.0,1.0,0.0,0.0,0.0,0.0,69.0,300.0,0.0,rml_hidden,RML hidden,3,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_hidden_seed3
500000,-50.46489271484774,-6.0674917880880255,-44.39740092675972,33.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.07951555304200497,0.0,1.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,1.0,0.0,6.0,6.0,67.0,34.0,6.0,rml_hidden,RML hidden,4,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_hidden_seed4
500000,946.1128829107923,29.826323603834446,916.2865593069616,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.00654224826468669,0.0,268.0,33.0,300.0,0.0,1.0,0.0,0.0,1.0,33.0,5.0,1.0,0.0,0.0,0.0,0.0,67.0,300.0,0.0,rml_semantic_progress,RML semantic progress,0,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_semantic_progress_seed0
500000,955.8447084322894,27.603344293714173,928.2413641385799,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.017672149505443158,0.0,271.0,30.0,300.0,0.0,1.0,0.0,0.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0,70.0,300.0,0.0,rml_semantic_progress,RML semantic progress,1,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_semantic_progress_seed1
500000,965.5868886725514,30.08030370328235,935.5065849692734,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.011459472218857458,0.0,273.0,28.0,300.0,0.0,1.0,0.0,0.0,1.0,28.0,10.0,1.0,0.0,0.0,0.0,0.0,72.0,300.0,0.0,rml_semantic_progress,RML semantic progress,2,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_semantic_progress_seed2
500000,956.774678919335,20.599882835410483,936.1747960839291,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.04068836767489392,0.0,273.0,28.0,300.0,0.0,1.0,0.0,0.0,1.0,28.0,8.0,1.0,0.0,0.0,0.0,0.0,72.0,300.0,0.0,rml_semantic_progress,RML semantic progress,3,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_semantic_progress_seed3
500000,958.4360642861209,25.691553566270848,932.744510719853,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.025705867933006554,0.0,272.0,29.0,300.0,0.0,1.0,0.0,0.0,1.0,29.0,7.0,1.0,0.0,0.0,0.0,0.0,71.0,300.0,0.0,rml_semantic_progress,RML semantic progress,4,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/rml_semantic_progress_seed4
500000,-62.214641017919874,-4.31527318086681,-57.89936783705308,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32050594774746893,0.24358197022240802,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,-10.0,0.0,94.0,7.0,0.0,manual_rm_semantic_progress,Manual RM semantic progress,0,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/manual_rm_semantic_progress_seed0
500000,947.8672857348574,27.135822446808454,920.7314632880523,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.019247083757307992,0.0,269.0,32.0,300.0,0.0,1.0,0.0,0.0,1.0,32.0,8.0,1.0,0.0,0.0,0.0,0.0,68.0,300.0,0.0,manual_rm_semantic_progress,Manual RM semantic progress,1,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/manual_rm_semantic_progress_seed1
500000,952.2979805516363,30.596644826370373,921.7013357252697,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.008459214885038313,0.0,269.0,32.0,300.0,0.0,1.0,0.0,0.0,1.0,32.0,6.0,1.0,0.0,0.0,0.0,0.0,68.0,300.0,0.0,manual_rm_semantic_progress,Manual RM semantic progress,2,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/manual_rm_semantic_progress_seed2
500000,967.0149675375894,32.00242005070301,935.0125474868908,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.004584615624721011,0.0,273.0,28.0,300.0,0.0,1.0,0.0,0.0,1.0,28.0,8.0,1.0,0.0,0.0,0.0,0.0,72.0,300.0,0.0,manual_rm_semantic_progress,Manual RM semantic progress,3,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/manual_rm_semantic_progress_seed3
500000,964.5432872173822,31.666888326326678,932.8763988910598,300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.008180185119142203,0.0,272.0,29.0,300.0,0.0,1.0,0.0,0.0,1.0,29.0,6.0,1.0,0.0,0.0,0.0,0.0,71.0,300.0,0.0,manual_rm_semantic_progress,Manual RM semantic progress,4,/Users/khalid/Desktop/rml_reward_machines/envs/cstr/results_and_evaluation/ppo/manual_rm_semantic_progress_seed4
