encoding,iteration,n_value,episode,seed,total_reward,final_reward,steps,epsilon,q_state_count,success,converged
numerical,0,5,1,4,-30.0,-40.0,12,0.4,9,False,False
numerical,0,5,2,4,-30.0,-40.0,13,0.396,13,False,False
numerical,0,5,3,4,10.0,-40.0,65,0.39204,28,False,False
numerical,0,5,4,4,10.0,-40.0,43,0.3881196,42,False,False
numerical,0,5,5,4,10.0,-40.0,52,0.384238404,46,False,False
numerical,0,5,6,4,-30.0,-40.0,3,0.38039601996,46,False,False
numerical,0,5,7,4,50.0,0.0,200,0.3765920597604,56,False,False
numerical,0,5,8,4,30.0,-40.0,57,0.372826139162796,63,False,False
numerical,0,5,9,4,30.0,-40.0,50,0.36909787777116804,65,False,False
numerical,0,5,10,4,-30.0,-40.0,19,0.36540689899345635,67,False,False
numerical,0,5,11,4,-30.0,-40.0,17,0.36175283000352176,67,False,False
numerical,0,5,12,4,-30.0,-40.0,40,0.35813530170348656,67,False,False
numerical,0,5,13,4,-10.0,-40.0,35,0.3545539486864517,68,False,False
numerical,0,5,14,4,30.0,-40.0,39,0.35100840919958715,70,False,False
numerical,0,5,15,4,10.0,-40.0,94,0.34749832510759127,71,False,False
numerical,0,5,16,4,-30.0,-40.0,7,0.34402334185651534,71,False,False
numerical,0,5,17,4,-10.0,-40.0,35,0.3405831084379502,71,False,False
numerical,0,5,18,4,-30.0,-40.0,6,0.33717727735357067,71,False,False
numerical,0,5,19,4,-10.0,-40.0,21,0.33380550458003494,73,False,False
numerical,0,5,20,4,220.0,110.0,59,0.33046744953423457,84,True,False
numerical,0,5,21,4,200.0,110.0,54,0.32716277503889224,86,True,False
numerical,0,5,22,4,-30.0,-40.0,8,0.3238911472885033,86,False,False
numerical,0,5,23,4,-30.0,-40.0,9,0.3206522358156183,86,False,False
numerical,0,5,24,4,10.0,-40.0,25,0.31744571345746214,86,False,False
numerical,0,5,25,4,30.0,-40.0,44,0.3142712563228875,88,False,False
numerical,0,5,26,4,220.0,110.0,64,0.3111285437596586,91,True,False
numerical,0,5,27,4,180.0,110.0,31,0.308017258322062,93,True,False
numerical,0,5,28,4,-10.0,-40.0,28,0.3049370857388414,93,False,False
numerical,0,5,29,4,10.0,-40.0,17,0.30188771488145294,93,False,False
numerical,0,5,30,4,260.0,110.0,49,0.2988688377326384,95,True,False
numerical,0,5,31,4,-10.0,-40.0,43,0.295880149355312,97,False,False
numerical,0,5,32,4,10.0,-40.0,18,0.2929213478617589,97,False,False
numerical,0,5,33,4,70.0,-40.0,95,0.2899921343831413,101,False,False
numerical,0,5,34,4,-30.0,-40.0,11,0.2870922130393099,101,False,False
numerical,0,5,35,4,220.0,110.0,38,0.2842212909089168,102,True,False
numerical,0,5,36,4,10.0,-40.0,31,0.28137907799982764,102,False,False
numerical,0,5,37,4,30.0,-40.0,26,0.27856528721982937,102,False,False
