encoding,iteration,n_value,episode,seed,total_reward,final_reward,steps,epsilon,q_state_count,success,converged
simple,0,5,1,0,-40.0,-40.0,60,0.4,16,False,False
simple,0,5,2,0,0.0,-40.0,40,0.396,30,False,False
simple,0,5,3,0,-40.0,-40.0,25,0.39204,36,False,False
simple,0,5,4,0,-20.0,-40.0,24,0.3881196,44,False,False
simple,0,5,5,0,-40.0,-40.0,62,0.384238404,44,False,False
simple,0,5,6,0,-20.0,-40.0,82,0.38039601996,51,False,False
simple,0,5,7,0,0.0,-40.0,32,0.3765920597604,54,False,False
simple,0,5,8,0,0.0,-40.0,132,0.372826139162796,71,False,False
simple,0,5,9,0,0.0,-40.0,25,0.36909787777116804,71,False,False
simple,0,5,10,0,0.0,-40.0,155,0.36540689899345635,93,False,False
simple,0,5,11,0,0.0,-40.0,36,0.36175283000352176,96,False,False
simple,0,5,12,0,0.0,-40.0,19,0.35813530170348656,101,False,False
simple,0,5,13,0,-20.0,-40.0,23,0.3545539486864517,108,False,False
simple,0,5,14,0,0.0,-40.0,16,0.35100840919958715,109,False,False
simple,0,5,15,0,0.0,-40.0,148,0.34749832510759127,110,False,False
simple,0,5,16,0,-40.0,-40.0,13,0.34402334185651534,110,False,False
simple,0,5,17,0,20.0,-40.0,45,0.3405831084379502,124,False,False
simple,0,5,18,0,-20.0,-40.0,28,0.33717727735357067,124,False,False
simple,0,5,19,0,-20.0,-40.0,19,0.33380550458003494,124,False,False
simple,0,5,20,0,0.0,-40.0,197,0.33046744953423457,131,False,False
simple,0,5,21,0,-20.0,-40.0,42,0.32716277503889224,136,False,False
simple,0,5,22,0,0.0,-40.0,51,0.3238911472885033,136,False,False
simple,0,5,23,0,0.0,-40.0,21,0.3206522358156183,137,False,False
simple,0,5,24,0,0.0,-40.0,24,0.31744571345746214,138,False,False
simple,0,5,25,0,-20.0,-40.0,17,0.3142712563228875,138,False,False
simple,0,5,26,0,0.0,-40.0,56,0.3111285437596586,141,False,False
simple,0,5,27,0,-20.0,-40.0,54,0.308017258322062,147,False,False
simple,0,5,28,0,0.0,-40.0,53,0.3049370857388414,150,False,False
simple,0,5,29,0,20.0,-40.0,70,0.30188771488145294,158,False,False
simple,0,5,30,0,-40.0,-40.0,12,0.2988688377326384,159,False,False
simple,0,5,31,0,0.0,-40.0,71,0.295880149355312,159,False,False
simple,0,5,32,0,0.0,-40.0,36,0.2929213478617589,160,False,False
simple,0,5,33,0,0.0,-40.0,102,0.2899921343831413,162,False,False
simple,0,5,34,0,0.0,-40.0,22,0.2870922130393099,162,False,False
simple,0,5,35,0,0.0,-40.0,10,0.2842212909089168,162,False,False
simple,0,5,36,0,20.0,-40.0,57,0.28137907799982764,185,False,False
simple,0,5,37,0,0.0,-40.0,59,0.27856528721982937,186,False,False
simple,0,5,38,0,0.0,-40.0,32,0.2757796343476311,191,False,False
simple,0,5,39,0,60.0,-40.0,87,0.27302183800415475,208,False,False
simple,0,5,40,0,0.0,-40.0,15,0.2702916196241132,210,False,False
simple,0,5,41,0,20.0,-40.0,31,0.26758870342787205,212,False,False
simple,0,5,42,0,20.0,-40.0,34,0.2649128163935933,217,False,False
simple,0,5,43,0,20.0,-40.0,25,0.2622636882296574,217,False,False
simple,0,5,44,0,20.0,-40.0,30,0.2596410513473608,217,False,False
simple,0,5,45,0,60.0,0.0,200,0.25704464083388723,231,False,False
simple,0,5,46,0,-20.0,-40.0,19,0.25447419442554836,235,False,False
simple,0,5,47,0,60.0,-40.0,55,0.2519294524812929,238,False,False
simple,0,5,48,0,20.0,-40.0,52,0.24941015795647997,241,False,False
simple,0,5,49,0,0.0,-40.0,20,0.24691605637691516,241,False,False
simple,0,5,50,0,0.0,-40.0,10,0.24444689581314602,241,False,False
simple,0,5,51,0,-20.0,-40.0,39,0.24200242685501455,247,False,False
simple,0,5,52,0,20.0,-40.0,150,0.2395824025864644,260,False,False
simple,0,5,53,0,0.0,-40.0,36,0.23718657856059977,262,False,False
simple,0,5,54,0,20.0,-40.0,83,0.23481471277499377,266,False,False
simple,0,5,55,0,20.0,-40.0,35,0.23246656564724383,271,False,False
simple,0,5,56,0,20.0,-40.0,29,0.2301418999907714,272,False,False
simple,0,5,57,0,0.0,-40.0,33,0.22784048099086368,272,False,False
simple,0,5,58,0,0.0,-40.0,35,0.22556207618095503,272,False,False
simple,0,5,59,0,20.0,-40.0,18,0.22330645541914548,272,False,False
simple,0,5,60,0,-40.0,-40.0,7,0.22107339086495403,272,False,False
