algorithm,training_steps,mean,std,count
ddqn,20000,0.0,0.0,5
ddqn,40000,0.4,0.5477225575051661,5
ddqn,60000,0.4,0.5477225575051661,5
ddqn,80000,0.6,0.5477225575051661,5
ddqn,100000,1.0,0.0,5
ddqn,120000,1.0,0.0,5
ddqn,140000,1.0,0.0,5
ddqn,160000,1.0,0.0,5
ddqn,180000,1.0,0.0,5
ddqn,200000,1.0,0.0,5
ddqn,220000,1.0,0.0,5
ddqn,240000,1.0,0.0,5
dqn,20000,0.0,0.0,5
dqn,40000,0.0,0.0,5
dqn,60000,0.2,0.447213595499958,5
dqn,80000,0.8,0.4472135954999579,5
dqn,100000,1.0,0.0,5
dqn,120000,1.0,0.0,5
dqn,140000,1.0,0.0,5
dqn,160000,1.0,0.0,5
dqn,180000,1.0,0.0,5
dqn,200000,1.0,0.0,5
dqn,220000,1.0,0.0,5
dqn,240000,1.0,0.0,5
ppo,20000,0.0,0.0,5
ppo,40000,0.0,0.0,5
ppo,60000,0.0,0.0,5
ppo,80000,0.0,0.0,5
ppo,100000,0.0,0.0,5
ppo,120000,0.2,0.4472135954999579,5
ppo,140000,0.22000000000000003,0.4381780460041329,5
ppo,160000,0.6,0.5477225575051662,5
ppo,180000,0.6,0.5477225575051662,5
ppo,200000,0.8,0.4472135954999579,5
ppo,220000,1.0,0.0,5
ppo,240000,1.0,0.0,5
