encoding,training_steps,mean,std,count
hidden_monitor_state,20000,0.0,0.0,5
hidden_monitor_state,40000,0.0,0.0,5
hidden_monitor_state,60000,0.0,0.0,5
hidden_monitor_state,80000,0.0,0.0,5
hidden_monitor_state,100000,0.0,0.0,5
hidden_monitor_state,120000,0.0,0.0,5
hidden_monitor_state,140000,0.0,0.0,5
hidden_monitor_state,160000,0.0,0.0,5
hidden_monitor_state,180000,0.0,0.0,5
hidden_monitor_state,200000,0.0,0.0,5
hidden_monitor_state,220000,0.0,0.0,5
hidden_monitor_state,240000,0.0,0.0,5
learned_graph,20000,0.0,0.0,5
learned_graph,40000,0.0,0.0,5
learned_graph,60000,0.0,0.0,5
learned_graph,80000,1.0,0.0,5
learned_graph,100000,1.0,0.0,5
learned_graph,120000,1.0,0.0,5
learned_graph,140000,1.0,0.0,5
learned_graph,160000,1.0,0.0,5
learned_graph,180000,1.0,0.0,5
learned_graph,200000,1.0,0.0,5
learned_graph,220000,1.0,0.0,5
learned_graph,240000,1.0,0.0,5
learned_gru,20000,0.0,0.0,5
learned_gru,40000,0.0,0.0,5
learned_gru,60000,0.2,0.447213595499958,5
learned_gru,80000,0.82,0.40249223594996214,5
learned_gru,100000,1.0,0.0,5
learned_gru,120000,1.0,0.0,5
learned_gru,140000,1.0,0.0,5
learned_gru,160000,1.0,0.0,5
learned_gru,180000,1.0,0.0,5
learned_gru,200000,1.0,0.0,5
learned_gru,220000,1.0,0.0,5
learned_gru,240000,1.0,0.0,5
numerical,20000,0.0,0.0,5
numerical,40000,0.4,0.5477225575051661,5
numerical,60000,0.4,0.5477225575051661,5
numerical,80000,0.6,0.5477225575051661,5
numerical,100000,1.0,0.0,5
numerical,120000,1.0,0.0,5
numerical,140000,1.0,0.0,5
numerical,160000,1.0,0.0,5
numerical,180000,1.0,0.0,5
numerical,200000,1.0,0.0,5
numerical,220000,1.0,0.0,5
numerical,240000,1.0,0.0,5
one_hot,20000,0.0,0.0,5
one_hot,40000,0.2,0.447213595499958,5
one_hot,60000,0.6,0.5477225575051661,5
one_hot,80000,1.0,0.0,5
one_hot,100000,1.0,0.0,5
one_hot,120000,1.0,0.0,5
one_hot,140000,1.0,0.0,5
one_hot,160000,1.0,0.0,5
one_hot,180000,1.0,0.0,5
one_hot,200000,1.0,0.0,5
one_hot,220000,1.0,0.0,5
one_hot,240000,1.0,0.0,5
semantic_progress,20000,0.0,0.0,5
semantic_progress,40000,0.0,0.0,5
semantic_progress,60000,0.4,0.5477225575051661,5
semantic_progress,80000,1.0,0.0,5
semantic_progress,100000,1.0,0.0,5
semantic_progress,120000,1.0,0.0,5
semantic_progress,140000,1.0,0.0,5
semantic_progress,160000,1.0,0.0,5
semantic_progress,180000,1.0,0.0,5
semantic_progress,200000,1.0,0.0,5
semantic_progress,220000,1.0,0.0,5
semantic_progress,240000,1.0,0.0,5
