algorithm,encoding,eval_n,mean,std,count
ddqn,learned_graph,10,35.0,0.0,1
ddqn,learned_graph,15,45.0,0.0,1
ddqn,learned_graph,20,55.0,0.0,1
ddqn,learned_gru,10,53.0,0.0,1
ddqn,learned_gru,15,73.0,0.0,1
ddqn,learned_gru,20,93.0,0.0,1
ddqn,numerical,10,35.0,0.0,1
tabular,numerical,10,41.0,0.0,1
ddqn,numerical,15,45.0,0.0,1
tabular,numerical,15,51.0,0.0,1
ddqn,numerical,20,55.0,0.0,1
tabular,numerical,20,61.0,0.0,1
ddqn,one_hot,10,35.0,0.0,1
tabular,one_hot,10,39.0,0.0,1
ddqn,one_hot,15,45.0,0.0,1
tabular,one_hot,15,49.0,0.0,1
ddqn,one_hot,20,55.0,0.0,1
tabular,one_hot,20,59.0,0.0,1
ddqn,semantic_progress,10,35.0,0.0,1
ddqn,semantic_progress,15,45.0,0.0,1
ddqn,semantic_progress,20,55.0,0.0,1
