algorithm,encoding,eval_n,mean,std,count
ddqn,finite_state_rm,10,0.0,0.0,5
ddqn,finite_state_rm,15,0.0,0.0,5
ddqn,finite_state_rm,20,0.0,0.0,5
ddqn,learned_graph,10,1.0,0.0,5
ddqn,learned_graph,15,1.0,0.0,5
ddqn,learned_graph,20,1.0,0.0,5
ddqn,learned_gru,10,1.0,0.0,5
ddqn,learned_gru,15,1.0,0.0,5
ddqn,learned_gru,20,1.0,0.0,5
ddqn,numerical,10,1.0,0.0,5
ddqn,numerical,15,1.0,0.0,5
ddqn,numerical,20,1.0,0.0,5
ddqn,one_hot,10,1.0,0.0,5
ddqn,one_hot,15,1.0,0.0,5
ddqn,one_hot,20,1.0,0.0,5
ddqn,semantic_progress,10,1.0,0.0,5
ddqn,semantic_progress,15,1.0,0.0,5
ddqn,semantic_progress,20,1.0,0.0,5
