global_training_steps,landing_protocol_gap_mean,landing_protocol_gap_std,landing_protocol_gap_count
50000,0.007999999999999997,0.01788854381999831,5
100000,0.016,0.026076809620810593,5
150000,0.064,0.14310835055998655,5
200000,0.18,0.17663521732655696,5
250000,0.128,0.13754999091239517,5
300000,0.168,0.13682105101189654,5
350000,0.10800000000000001,0.11009087155618308,5
400000,0.004,0.00894427190999916,5
450000,0.06000000000000001,0.0565685424949238,5
500000,0.10799999999999998,0.12617448236470002,5
550000,0.07600000000000001,0.07797435475847173,5
600000,0.07999999999999999,0.07071067811865474,5
650000,0.072,0.07155417527999328,5
700000,0.036,0.021908902300206645,5
750000,0.06399999999999997,0.04774934554525329,5
800000,0.032000000000000015,0.030331501776206204,5
850000,0.04400000000000002,0.038470768123342686,5
900000,0.13999999999999999,0.13999999999999999,5
950000,0.156,0.23511699215496953,5
1000000,0.11600000000000002,0.14656056768449008,5
1050000,0.044,0.06387487769068526,5
1100000,0.076,0.05899152481501051,5
1150000,0.008000000000000004,0.010954451150103328,5
1200000,0.06399999999999999,0.10430723848324237,5
1250000,0.024000000000000014,0.026076809620810614,5
1300000,0.028000000000000018,0.02280350850198278,5
