seed,stage,training_steps,global_training_steps,eval_successful_landing_rate,eval_successful_protocol_rate,landing_protocol_gap
0,stage1_discovery,50000,50000,0.0,0.0,0.0
0,stage1_discovery,100000,100000,0.0,0.0,0.0
0,stage1_discovery,150000,150000,0.44,0.12,0.32
0,stage1_discovery,200000,200000,0.4,0.0,0.4
0,stage1_discovery,250000,250000,0.3,0.0,0.3
0,stage1_discovery,300000,300000,0.08,0.02,0.06
0,stage1_discovery,350000,350000,0.22,0.0,0.22
0,stage1_discovery,400000,400000,0.0,0.0,0.0
0,stage1_discovery,450000,450000,0.0,0.0,0.0
0,stage1_discovery,500000,500000,0.42,0.12,0.3
0,stage1_discovery,550000,550000,0.26,0.1,0.16
0,stage1_discovery,600000,600000,0.96,0.88,0.07999999999999996
0,stage1_discovery,650000,650000,0.96,0.84,0.12
0,stage1_discovery,700000,700000,0.96,0.92,0.039999999999999925
0,stage1_discovery,750000,750000,0.96,0.92,0.039999999999999925
0,stage1_discovery,800000,800000,1.0,1.0,0.0
0,stage1_discovery,850000,850000,1.0,0.96,0.040000000000000036
0,stage1_discovery,900000,900000,1.0,0.96,0.040000000000000036
0,stage1_discovery,950000,950000,0.1,0.1,0.0
0,stage1_discovery,1000000,1000000,0.96,0.94,0.020000000000000018
0,stage2_stabilization,50000,1050000,0.96,0.88,0.07999999999999996
0,stage2_stabilization,100000,1100000,1.0,0.84,0.16000000000000003
0,stage2_stabilization,150000,1150000,1.0,0.98,0.020000000000000018
0,stage2_stabilization,200000,1200000,0.98,0.98,0.0
0,stage2_stabilization,250000,1250000,1.0,0.94,0.06000000000000005
0,stage2_stabilization,300000,1300000,1.0,0.98,0.020000000000000018
