global_training_steps,eval_successful_landing_rate_mean,eval_successful_landing_rate_std,eval_successful_landing_rate_count,eval_successful_protocol_rate_mean,eval_successful_protocol_rate_std,eval_successful_protocol_rate_count,included_seeds,excluded_seeds
50000,0.06,0.12,4,0.05,0.1,4,"0,1,2,3",4
100000,0.02,0.04,4,0.005,0.01,4,"0,1,2,3",4
150000,0.115,0.21687169786150828,4,0.034999999999999996,0.05744562646538029,4,"0,1,2,3",4
200000,0.18,0.2103964511741267,4,0.01,0.02,4,"0,1,2,3",4
250000,0.135,0.15779733838059498,4,0.0,0.0,4,"0,1,2,3",4
300000,0.235,0.23,4,0.08,0.07659416862050705,4,"0,1,2,3",4
350000,0.16999999999999998,0.08406346808612329,4,0.035,0.034156502553198666,4,"0,1,2,3",4
400000,0.0,0.0,4,0.0,0.0,4,"0,1,2,3",4
450000,0.21,0.232379000772445,4,0.16,0.1735895542172205,4,"0,1,2,3",4
500000,0.3,0.17663521732655693,4,0.165,0.10376254944182255,4,"0,1,2,3",4
550000,0.4,0.18832595855767378,4,0.31,0.22181073012818833,4,"0,1,2,3",4
600000,0.675,0.36783148315499037,4,0.58,0.36478304054145205,4,"0,1,2,3",4
650000,0.65,0.3845343504378597,4,0.56,0.36110940170535577,4,"0,1,2,3",4
700000,0.785,0.39034173062416305,4,0.74,0.4003331945600647,4,"0,1,2,3",4
750000,0.87,0.19356308187943969,4,0.79,0.21007935008784975,4,"0,1,2,3",4
800000,0.87,0.1747378989610821,4,0.85,0.1762573875520305,4,"0,1,2,3",4
850000,0.97,0.06,4,0.915,0.09146948489341492,4,"0,1,2,3",4
900000,0.94,0.08485281374238572,4,0.855,0.16114175953695756,4,"0,1,2,3",4
950000,0.64,0.3871261637588793,4,0.585,0.3403429642777023,4,"0,1,2,3",4
1000000,0.58,0.43908996800200295,4,0.5249999999999999,0.4129164564412515,4,"0,1,2,3",4
1050000,0.725,0.4711333852176755,4,0.67,0.44256826215473993,4,"0,1,2,3",4
1100000,0.935,0.11704699910719621,4,0.865,0.1379613472438325,4,"0,1,2,3",4
1150000,0.99,0.020000000000000018,4,0.985,0.019148542155126774,4,"0,1,2,3",4
1200000,0.965,0.02999999999999996,4,0.885,0.14177446878757824,4,"0,1,2,3",4
1250000,0.76,0.4667618950457146,4,0.73,0.47399015460942506,4,"0,1,2,3",4
1300000,1.0,0.0,4,0.97,0.025819888974716144,4,"0,1,2,3",4
