encoding,training_steps,mean,std,count
learned_graph,20000,0.0,0.0,5
learned_graph,40000,0.0,0.0,5
learned_graph,60000,0.04,0.0894427190999916,5
learned_graph,80000,0.144,0.1846076921474292,5
learned_graph,100000,0.352,0.24560130292814003,5
learned_graph,120000,0.8719999999999999,0.18417383093154144,5
learned_graph,140000,0.984,0.03577708763999661,5
learned_graph,160000,1.0,0.0,5
learned_graph,180000,1.0,0.0,5
learned_graph,200000,0.976,0.05366563145999494,5
learned_graph,220000,0.968,0.043817804600413277,5
learned_graph,240000,1.0,0.0,5
learned_gru,20000,0.0,0.0,5
learned_gru,40000,0.0,0.0,5
learned_gru,60000,0.27999999999999997,0.2349468024894146,5
learned_gru,80000,0.5439999999999999,0.3573233829460367,5
learned_gru,100000,0.64,0.40987803063838396,5
learned_gru,120000,0.768,0.43487929359766025,5
learned_gru,140000,0.8,0.4472135954999579,5
learned_gru,160000,0.8,0.4472135954999579,5
learned_gru,180000,0.8,0.4472135954999579,5
learned_gru,200000,0.8,0.4472135954999579,5
learned_gru,220000,0.792,0.44308012819353565,5
learned_gru,240000,0.8,0.4472135954999579,5
numerical,20000,0.0,0.0,5
numerical,40000,0.0,0.0,5
numerical,60000,0.624,0.2647262737243887,5
numerical,80000,0.992,0.017888543819998333,5
numerical,100000,0.96,0.08944271909999156,5
numerical,120000,0.984,0.03577708763999666,5
numerical,140000,0.9199999999999999,0.1788854381999832,5
numerical,160000,0.984,0.03577708763999663,5
numerical,180000,1.0,0.0,5
numerical,200000,1.0,0.0,5
numerical,220000,1.0,0.0,5
numerical,240000,1.0,0.0,5
one_hot,20000,0.0,0.0,5
one_hot,40000,0.0,0.0,5
one_hot,60000,0.23200000000000004,0.12457929201917951,5
one_hot,80000,0.472,0.214289523775662,5
one_hot,100000,0.768,0.3011976095522672,5
one_hot,120000,0.9199999999999999,0.11313708498984758,5
one_hot,140000,1.0,0.0,5
one_hot,160000,1.0,0.0,5
one_hot,180000,1.0,0.0,5
one_hot,200000,0.992,0.017888543819998333,5
one_hot,220000,0.992,0.017888543819998333,5
one_hot,240000,1.0,0.0,5
