algorithm,encoding,eval_n,mean,std,count
ddqn,learned_graph,10,40.8,0.40000000000000385,5
ddqn,learned_graph,15,50.8,0.40000000000000385,5
ddqn,learned_graph,20,60.8,0.40000000000000385,5
ddqn,learned_gru,10,90.088,111.10574566600954,5
ddqn,learned_gru,15,98.088,106.63360971100997,5
ddqn,learned_gru,20,106.088,102.16147375601038,5
ddqn,numerical,10,40.4,0.0,5
ddqn,numerical,15,92.47999999999999,63.22366645489646,5
ddqn,numerical,20,120.624,84.86720733004002,5
ddqn,one_hot,10,40.88,0.43817804600413673,5
ddqn,one_hot,15,50.88,0.43817804600413673,5
ddqn,one_hot,20,60.879999999999995,0.43817804600413673,5
tabular,numerical,10,400.0,0.0,5
tabular,numerical,15,400.0,0.0,5
tabular,numerical,20,400.0,0.0,5
tabular,one_hot,10,400.0,0.0,5
tabular,one_hot,15,400.0,0.0,5
tabular,one_hot,20,400.0,0.0,5
