algorithm,encoding,eval_n,mean,std,count
ddqn,learned_graph,10,1.0,0.0,5
ddqn,learned_graph,15,1.0,0.0,5
ddqn,learned_graph,20,1.0,0.0,5
ddqn,learned_gru,10,0.8,0.4472135954999579,5
ddqn,learned_gru,15,0.8,0.4472135954999579,5
ddqn,learned_gru,20,0.8,0.4472135954999579,5
ddqn,numerical,10,1.0,0.0,5
ddqn,numerical,15,0.8800000000000001,0.17888543819998318,5
ddqn,numerical,20,0.776,0.25075884829851963,5
ddqn,one_hot,10,1.0,0.0,5
ddqn,one_hot,15,1.0,0.0,5
ddqn,one_hot,20,1.0,0.0,5
tabular,numerical,10,0.0,0.0,5
tabular,numerical,15,0.0,0.0,5
tabular,numerical,20,0.0,0.0,5
tabular,one_hot,10,0.0,0.0,5
tabular,one_hot,15,0.0,0.0,5
tabular,one_hot,20,0.0,0.0,5
