episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,37517,0.38049129417001787,3314,-18.98,0.017,0.983
2000,74740,0.36193406234793696,4316,30.07,0.184,0.816
3000,109647,0.3442818994674461,4776,78.85,0.393,0.606
4000,142329,0.32749066371920244,4951,112.92,0.53,0.47
5000,173518,0.3115183661677936,5029,117.63,0.553,0.447
6000,205156,0.2963250657522844,5094,136.99,0.63,0.37
7000,236282,0.2818727694077567,5132,137.16,0.622,0.378
8000,268088,0.26812533705811153,5167,150.28,0.687,0.313
9000,299111,0.2550483912425324,5201,154.11,0.694,0.306
10000,329749,0.24260923114963107,5208,152.84,0.695,0.305
11000,360202,0.2307767508442905,5214,162.87,0.729,0.271
12000,390501,0.21952136148273962,5221,166.62,0.747,0.253
13000,419808,0.20881491732132998,5223,164.37,0.743,0.257
14000,449609,0.198630645333996,5231,175.33,0.782,0.218
15000,479527,0.18894307826239523,5239,177.54,0.797,0.203
16000,509304,0.1797279909313141,5242,180.17,0.81,0.19
17000,538779,0.17096233967008276,5244,181.28,0.81,0.19
18000,567481,0.16262420468850974,5253,179.01,0.812,0.188
19000,596045,0.15469273526325256,5263,180.79,0.812,0.188
20000,625212,0.14714809759753764,5265,190.66,0.844,0.156
21000,653719,0.13997142522385816,5269,187.85,0.837,0.163
22000,682387,0.13314477182561918,5278,194.75,0.862,0.138
23000,710926,0.12665106635975368,5278,194.99,0.868,0.132
24000,739129,0.12047407036808883,5282,191.38,0.845,0.155
25000,767289,0.11459833737070983,5286,194.72,0.869,0.131
