episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,36110,0.38049129417001787,2894,-11.49,0.053,0.946
2000,72545,0.36193406234793696,3581,42.6,0.245,0.753
3000,106945,0.3442818994674461,3788,89.31,0.445,0.555
4000,139791,0.32749066371920244,3835,114.82,0.534,0.466
5000,171534,0.3115183661677936,3861,123.96,0.571,0.429
6000,203491,0.2963250657522844,3878,134.03,0.618,0.382
7000,235890,0.2818727694077567,3893,145.95,0.661,0.339
8000,266334,0.26812533705811153,3900,130.77,0.617,0.383
9000,297228,0.2550483912425324,3919,146.33,0.669,0.331
10000,328201,0.24260923114963107,3924,151.62,0.687,0.313
11000,358329,0.2307767508442905,3932,158.67,0.718,0.282
12000,389341,0.21952136148273962,3932,167.53,0.745,0.255
13000,420153,0.20881491732132998,3937,170.2,0.766,0.234
14000,449743,0.198630645333996,3937,172.41,0.769,0.231
15000,479752,0.18894307826239523,3938,173.19,0.772,0.228
16000,508899,0.1797279909313141,3938,170.76,0.776,0.224
17000,538312,0.17096233967008276,3940,177.23,0.789,0.211
18000,568038,0.16262420468850974,3942,178.77,0.803,0.197
19000,597350,0.15469273526325256,3942,185.37,0.815,0.185
20000,626454,0.14714809759753764,3943,188.94,0.841,0.159
21000,655616,0.13997142522385816,3944,191.85,0.845,0.155
22000,684186,0.13314477182561918,3947,189.86,0.854,0.146
23000,713056,0.12665106635975368,3952,194.6,0.858,0.142
24000,741394,0.12047407036808883,3952,191.74,0.863,0.137
25000,769862,0.11459833737070983,3957,197.67,0.864,0.136
