training_steps,mean,std,count
20000,0.0,0.0,5
40000,0.0,0.0,5
60000,0.0,0.0,5
80000,0.0,0.0,5
100000,0.03,0.0670820393249937,5
120000,0.04,0.041833001326703784,5
140000,0.03,0.0670820393249937,5
160000,0.12,0.07582875444051551,5
180000,0.13999999999999999,0.11937336386313321,5
200000,0.24,0.11401754250991379,5
220000,0.16999999999999998,0.14404860290887933,5
240000,0.12,0.1396424004376894,5
260000,0.25,0.18371173070873836,5
280000,0.38,0.24135036772294338,5
300000,0.4,0.19999999999999998,5
320000,0.39,0.26551836094703507,5
340000,0.45999999999999996,0.22192341021172146,5
360000,0.49000000000000005,0.2924038303442689,5
380000,0.54,0.28372521918222215,5
400000,0.71,0.19493588689617922,5
420000,0.63,0.2841654447676565,5
440000,0.69,0.2902585054739998,5
460000,0.72,0.25149552679918585,5
480000,0.77,0.2729468812791236,5
500000,0.89,0.10839741694339397,5
520000,0.95,0.06123724356957947,5
540000,0.9199999999999999,0.12549900398011135,5
560000,0.95,0.08660254037844385,5
580000,0.95,0.1118033988749895,5
600000,0.9800000000000001,0.02738612787525833,5
620000,1.0,0.0,5
640000,0.96,0.08944271909999156,5
660000,0.9800000000000001,0.02738612787525833,5
680000,1.0,0.0,5
700000,1.0,0.0,5
720000,0.99,0.02236067977499793,5
740000,1.0,0.0,5
760000,1.0,0.0,5
780000,0.99,0.022360679774997935,5
800000,1.0,0.0,5
