training_episodes,mean,std,count,training_steps
1000,0.0,0.0,5,34223.2
2000,0.0,0.0,5,67265.6
3000,0.0,0.0,5,100388.6
4000,0.0,0.0,5,133518.0
5000,0.0,0.0,5,165676.2
6000,0.0,0.0,5,196640.4
7000,0.0,0.0,5,227827.4
8000,0.0,0.0,5,257881.2
9000,0.0,0.0,5,287366.2
10000,0.0,0.0,5,316472.2
11000,0.0,0.0,5,345401.2
12000,0.0,0.0,5,373413.0
13000,0.0,0.0,5,401206.4
14000,0.0,0.0,5,428245.2
15000,0.0,0.0,5,454926.0
16000,0.0,0.0,5,481265.2
17000,0.0,0.0,5,508077.6
18000,0.0,0.0,5,534021.6
19000,0.0,0.0,5,559236.2
20000,0.0,0.0,5,584018.0
21000,0.0,0.0,5,608899.2
22000,0.0,0.0,5,633230.4
23000,0.0,0.0,5,657214.6
24000,0.0,0.0,5,681301.4
25000,0.0,0.0,5,705521.8
26000,0.0,0.0,5,729166.8
27000,0.0,0.0,5,752403.6
28000,0.0,0.0,5,776083.0
29000,0.0,0.0,5,799046.6
30000,0.0,0.0,5,822406.4
31000,0.008,0.01788854381999832,5,845617.2
32000,0.016,0.021908902300206645,5,867910.0
33000,0.016,0.021908902300206645,5,890603.0
34000,0.024,0.021908902300206645,5,913281.6
35000,0.032,0.03346640106136302,5,935564.6
36000,0.032,0.03346640106136302,5,957639.6
37000,0.032,0.03346640106136302,5,979750.2
38000,0.04,0.028284271247461898,5,1002056.6
39000,0.05600000000000001,0.021908902300206645,5,1024278.2
40000,0.064,0.03577708763999664,5,1046833.2
41000,0.072,0.033466401061363026,5,1069186.4
42000,0.08,0.048989794855663564,5,1091198.6
43000,0.096,0.06693280212272605,5,1113406.4
44000,0.096,0.06693280212272605,5,1135426.2
45000,0.11200000000000002,0.07694153624668537,5,1157990.4
46000,0.128,0.07694153624668537,5,1180543.6
47000,0.144,0.0829457654133109,5,1203178.4
48000,0.16,0.08000000000000002,5,1226103.2
49000,0.168,0.09549869109050658,5,1248548.2
50000,0.17600000000000002,0.09208691546577072,5,1270967.0
