episode,training_steps,epsilon,q_state_count,recent_mean_return,recent_success_rate,recent_task_failure_rate
1000,34219,0.38049129417001787,10763,3.85,0.0,0.998
2000,67565,0.36193406234793696,17247,3.56,0.001,0.998
3000,101484,0.3442818994674461,21655,3.94,0.002,0.997
4000,135260,0.32749066371920244,25242,5.06,0.0,0.994
5000,166473,0.3115183661677936,28083,5.7,0.002,0.997
6000,196423,0.2963250657522844,30458,5.9,0.001,0.999
7000,227451,0.2818727694077567,32928,6.7,0.004,0.995
8000,257579,0.26812533705811153,35160,8.02,0.002,0.998
9000,286847,0.2550483912425324,37323,8.53,0.006,0.993
10000,314449,0.24260923114963107,39240,8.57,0.008,0.991
11000,344127,0.2307767508442905,41266,10.58,0.008,0.991
12000,373091,0.21952136148273962,43099,10.61,0.005,0.994
13000,402418,0.20881491732132998,44843,11.22,0.012,0.986
14000,428556,0.198630645333996,46468,12.18,0.006,0.993
15000,455214,0.18894307826239523,48040,12.81,0.011,0.989
16000,481332,0.1797279909313141,49670,14.44,0.02,0.98
17000,506984,0.17096233967008276,51026,14.18,0.008,0.992
18000,531964,0.16262420468850974,52520,14.83,0.01,0.99
19000,557768,0.15469273526325256,54020,16.32,0.016,0.983
20000,582446,0.14714809759753764,55316,16.33,0.021,0.978
21000,606681,0.13997142522385816,56561,17.66,0.016,0.984
22000,630253,0.13314477182561918,57688,17.32,0.015,0.984
23000,654879,0.12665106635975368,58792,17.95,0.016,0.984
24000,679424,0.12047407036808883,59974,18.66,0.026,0.973
25000,703843,0.11459833737070983,61044,19.43,0.028,0.97
26000,727901,0.10900917423978466,62147,19.77,0.028,0.972
27000,751977,0.10369260445725163,63235,20.19,0.019,0.981
28000,775295,0.09863533316449892,64127,21.26,0.031,0.969
29000,798046,0.09382471391662742,65032,21.64,0.036,0.962
30000,821632,0.08924871705817324,66104,23.19,0.052,0.947
31000,844878,0.08489589964119515,67007,23.66,0.052,0.947
32000,866306,0.08075537681051585,67739,23.57,0.043,0.957
33000,889426,0.07681679458455153,68585,24.65,0.064,0.936
34000,912887,0.07307030396367098,69406,24.66,0.063,0.936
35000,935272,0.06950653630133428,70105,25.6,0.067,0.933
36000,957847,0.06611657987642498,70918,26.27,0.086,0.914
37000,980950,0.06289195760819075,71629,26.93,0.086,0.914
38000,1003071,0.05982460585806616,72222,25.81,0.074,0.925
39000,1025622,0.05690685426536711,72862,27.71,0.093,0.907
40000,1047651,0.054131406566435475,73482,27.71,0.093,0.907
41000,1071552,0.05149132234926605,74063,28.77,0.123,0.877
42000,1093370,0.05,74565,29.69,0.115,0.885
43000,1115581,0.05,74978,29.93,0.124,0.876
44000,1138645,0.05,75522,31.2,0.151,0.848
45000,1161257,0.05,76024,30.61,0.128,0.872
46000,1184742,0.05,76495,30.91,0.143,0.857
47000,1207967,0.05,76953,31.01,0.135,0.864
48000,1230816,0.05,77409,32.1,0.162,0.837
49000,1253807,0.05,77892,33.24,0.175,0.825
50000,1275678,0.05,78207,33.63,0.179,0.82
